Ca2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 38,  19,  8d3/2,  8p3/2,           4694(9)  , *         9.435(42) ,        ,     0.01353(27),  4.361(46)E+05  ,          4694 ,          9 ,   0.19,       9.435,       0.042,    0.45,        0.01353,        0.00027,    1.97,  4.3607E+05,  4.6E+03,    1.05
 38,  46,  8d3/2,  4f5/2,        509.813(2)  ,          0.2911(49) ,        ,     0.01006(38),  3.24(11)E+05   ,        509.813,       0.002,   0.00,      0.2911,      0.0049,    1.69,        0.01006,        0.00038,    3.73,  3.2401E+05,  1.1E+04,    3.37
 38,  48,  8d3/2,  5f5/2,       1037.609(8)  ,           0.908(16) ,        ,     0.01160(45),  3.74(13)E+05   ,       1037.609,       0.008,   0.00,       0.908,       0.016,    1.77,        0.01160,        0.00045,    3.88,  3.7383E+05,  1.3E+04,    3.54
 38,  50,  8d3/2,  6f5/2,        2373.13(4)  ,           3.139(52) ,        ,     0.01159(43),  3.73(12)E+05   ,        2373.13,        0.04,   0.00,       3.139,       0.052,    1.67,        0.01159,        0.00043,    3.70,  3.7343E+05,  1.2E+04,    3.34
 38,  52,  8d3/2,  7f5/2,        10583.5(8)  ,           38.57(24) ,        ,     0.01972(41),  6.356(79)E+05  ,        10583.5,         0.8,   0.01,       38.57,        0.24,    0.62,        0.01972,        0.00041,    2.06,  6.3558E+05,  7.9E+03,    1.24
 40,  10,  9d3/2,  4p1/2,       155.5297(2)  ,          0.2280(57) ,        ,       0.321(11),  7.00(35)E+06   ,       155.5297,      0.0002,   0.00,      0.2280,      0.0057,    2.49,          0.321,          0.011,    3.42,  7.0018E+06,  3.5E+05,    4.99
 40,  11,  9d3/2,  4p3/2,       156.0707(2)  ,          0.1011(26) ,        ,      0.0624(32),  1.363(69)E+06  ,       156.0707,      0.0002,   0.00,      0.1011,      0.0026,    2.55,         0.0624,         0.0032,    5.05,  1.3628E+06,  6.9E+04,    5.10
 40,  12,  9d3/2,  5p1/2,       345.3646(8)  ,          0.5637(54) ,        ,      0.1790(41),  3.907(74)E+06  ,       345.3646,      0.0008,   0.00,      0.5637,      0.0054,    0.95,         0.1790,         0.0041,    2.27,  3.9071E+06,  7.4E+04,    1.90
 40,  13,  9d3/2,  5p3/2,       346.3006(8)  ,          0.2508(25) ,        ,     0.03514(89),  7.67(15)E+05   ,       346.3006,      0.0008,   0.00,      0.2508,      0.0025,    0.98,        0.03514,        0.00089,    2.52,  7.6697E+05,  1.5E+04,    1.95
 40,  14,  9d3/2,  6p1/2,        666.533(3)  ,          1.1815(71) ,        ,      0.1094(22),  2.388(29)E+06  ,        666.533,       0.003,   0.00,      1.1815,      0.0071,    0.60,         0.1094,         0.0022,    1.99,  2.3878E+06,  2.9E+04,    1.21
 40,  15,  9d3/2,  6p3/2,        668.173(3)  ,          0.5267(33) ,        ,     0.02158(45),  4.711(59)E+05  ,        668.173,       0.003,   0.00,      0.5267,      0.0033,    0.62,        0.02158,        0.00045,    2.07,  4.7109E+05,  5.9E+03,    1.25
 40,  16,  9d3/2,  7p1/2,         1251.5(8)  , *        2.5146(69) ,        ,      0.0749(13),  1.6339(95)E+06 ,         1251.5,         0.8,   0.06,      2.5146,      0.0069,    0.28,         0.0749,         0.0013,    1.76,  1.6339E+06,  9.5E+03,    0.58
 40,  17,  9d3/2,  7p3/2,         1254.7(8)  , *        1.1236(32) ,        ,     0.01483(26),  3.238(20)E+05  ,         1254.7,         0.8,   0.06,      1.1236,      0.0032,    0.29,        0.01483,        0.00026,    1.78,  3.2377E+05,  2.0E+03,    0.61
 40,  18,  9d3/2,  8p1/2,           2526(3)  , *        6.2391(31) ,        ,     0.05604(95),  1.2233(39)E+06 ,          2526 ,          3 ,   0.10,      6.2391,      0.0031,    0.05,        0.05604,        0.00095,    1.70,  1.2233E+06,  3.9E+03,    0.32
 40,  19,  9d3/2,  8p3/2,           2534(3)  , *        2.7958(15) ,        ,     0.01115(19),  2.4338(79)E+05 ,          2534 ,          3 ,   0.10,      2.7958,      0.0015,    0.05,        0.01115,        0.00019,    1.71,  2.4338E+05,  7.9E+02,    0.32
 40,  20,  9d3/2,  9p1/2,          7010(10)  , *         26.79(13) ,        ,     0.04837(96),  1.056(12)E+06  ,          7009 ,         15 ,   0.21,       26.79,        0.13,    0.47,        0.04837,        0.00096,    1.99,  1.0559E+06,  1.2E+04,    1.14
 40,  21,  9d3/2,  9p3/2,          7050(10)  , *        12.091(57) ,        ,     0.00969(20),  2.115(24)E+05  ,          7049 ,         15 ,   0.21,      12.091,       0.057,    0.48,        0.00969,        0.00020,    2.02,  2.1147E+05,  2.4E+03,    1.14
 40,  46,  9d3/2,  4f5/2,        466.613(2)  ,          0.2058(35) ,        ,     0.00967(36),  2.111(71)E+05  ,        466.613,       0.002,   0.00,      0.2058,      0.0035,    1.68,        0.00967,        0.00036,    3.73,  2.1109E+05,  7.1E+03,    3.37
 40,  48,  9d3/2,  5f5/2,        873.093(5)  ,           0.558(10) ,        ,     0.01086(43),  2.370(85)E+05  ,        873.093,       0.005,   0.00,       0.558,       0.010,    1.80,        0.01086,        0.00043,    3.93,  2.3696E+05,  8.5E+03,    3.60
 40,  50,  9d3/2,  6f5/2,        1658.42(2)  ,           1.403(26) ,        ,     0.01002(41),  2.186(82)E+05  ,        1658.42,        0.02,   0.00,       1.403,       0.026,    1.87,        0.01002,        0.00041,    4.07,  2.1864E+05,  8.2E+03,    3.75
 40,  52,  9d3/2,  7f5/2,        3622.05(9)  ,           4.423(77) ,        ,     0.00955(37),  2.085(73)E+05  ,        3622.05,        0.09,   0.00,       4.423,       0.077,    1.75,        0.00955,        0.00037,    3.85,  2.0850E+05,  7.3E+03,    3.50
 40,  54,  9d3/2,  8f5/2,          15610(2)  ,           52.29(32) ,        ,     0.01668(34),  3.641(44)E+05  ,         15610 ,          2 ,   0.01,       52.29,        0.32,    0.61,        0.01668,        0.00034,    2.06,  3.6412E+05,  4.4E+03,    1.22
