Ra2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  8,  18, 14s1/2, 11p3/2,           2333(2)  , *        2.3445(73) ,        ,     0.03153(23),  4.385(30)E+05  ,          2333 ,          2 ,   0.10,      2.3445,      0.0073,    0.31,        0.03153,        0.00023,    0.72,  4.3848E+05,  3.0E+03,    0.69
  8,  19, 14s1/2, 12p1/2,           4364(7)  , *        4.9326(99) ,        ,     0.02133(14),  2.966(19)E+05  ,          4364 ,          7 ,   0.17,      4.9326,      0.0099,    0.20,        0.02133,        0.00014,    0.68,  2.9659E+05,  1.9E+03,    0.64
  8,  20, 14s1/2, 12p3/2,           4790(7)  , *         6.418(18) ,        ,     0.02731(20),  3.797(27)E+05  ,          4790 ,          7 ,   0.14,       6.418,       0.018,    0.28,        0.02731,        0.00020,    0.73,  3.7973E+05,  2.7E+03,    0.70
  8,  21, 14s1/2, 13p1/2,         13630(50)  , *        28.718(89) ,        ,     0.02372(28),  3.299(39)E+05  ,         13631 ,         46 ,   0.34,      28.718,       0.089,    0.31,        0.02372,        0.00028,    1.20,  3.2987E+05,  3.9E+03,    1.20
  8,  22, 14s1/2, 13p3/2,         16910(50)  , *        49.426(76) ,        ,     0.03683(36),  5.122(51)E+05  ,         16906 ,         53 ,   0.31,      49.426,       0.076,    0.15,        0.03683,        0.00036,    0.99,  5.1219E+05,  5.1E+03,    0.99
  9,   1,  7p1/2,  7s1/2,         468.35(1)  ,            3.231(24), E17    ,      0.9108(18),  1.029(15)E+08  ,         468.35,        0.01,   0.00,       3.231,       0.024,    0.74,         0.9108,         0.0018,    0.20,  1.0294E+08,  1.5E+06,    1.49
  9,  25,  7p1/2,  6d3/2,      1079.0916(1)  ,            3.537(29), E17    ,      0.0892(18),  1.009(17)E+07  ,      1079.0916,      0.0001,   0.00,       3.537,       0.029,    0.82,         0.0892,         0.0018,    2.02,  1.0086E+07,  1.7E+05,    1.64
 11,   1,  8p1/2,  7s1/2,        197.604(2)  ,           0.037(50) ,        ,       0.009(25),  1.8(49)E+05    ,        197.604,       0.002,   0.00,       0.037,       0.050,  133.09,          0.009,          0.025,  263.66,  1.8315E+05,  4.9E+05,  266.18
 11,   2,  8p1/2,  8s1/2,        1388.65(4)  ,           6.973(35) ,        ,       0.951(25),  1.839(18)E+07  ,        1388.65,        0.04,   0.00,       6.973,       0.035,    0.50,          0.951,          0.025,    2.58,  1.8394E+07,  1.8E+05,    1.00
 11,  25,  8p1/2,  6d3/2,        259.592(1)  ,           0.054(17) ,        ,      0.0088(56),  1.7(11)E+05    ,        259.592,       0.001,   0.00,       0.054,       0.017,   32.29,         0.0088,         0.0056,   64.06,  1.6981E+05,  1.1E+05,   64.57
 11,  27,  8p1/2,  7d3/2,         5369.8(7)  ,           9.543(52) ,        ,     0.03080(91),  5.958(65)E+05  ,         5369.8,         0.7,   0.01,       9.543,       0.052,    0.55,        0.03080,        0.00091,    2.95,  5.9583E+05,  6.5E+03,    1.09
 13,   1,  9p1/2,  7s1/2,         159.90(4)  , *         0.077(31) ,        ,        0.19(12),  1.5(12)E+06    ,         159.90,        0.04,   0.03,       0.077,       0.031,   39.87,           0.19,           0.12,   64.26,  1.4872E+06,  1.2E+06,   79.73
 13,   2,  9p1/2,  8s1/2,          522.6(4)  , *        0.1803(39) ,        ,      0.0301(49),  2.31(10)E+05   ,          522.6,         0.4,   0.08,      0.1803,      0.0039,    2.17,         0.0301,         0.0049,   16.16,  2.3065E+05,  1.0E+04,    4.35
 13,   3,  9p1/2,  9s1/2,          2960(10)  , *        11.519(41) ,        ,        0.67(10),  5.159(82)E+06  ,          2965 ,         14 ,   0.47,      11.519,       0.041,    0.35,           0.67,           0.10,   15.57,  5.1587E+06,  8.2E+04,    1.59
 13,  25,  9p1/2,  6d3/2,         198.20(6)  , *         0.019(21) ,        ,       0.006(14),  5(11)E+04      ,         198.20,        0.06,   0.03,       0.019,       0.021,  109.40,          0.006,          0.014,  217.96,  4.8731E+04,  1.1E+05,  218.80
 13,  27,  9p1/2,  7d3/2,          724.9(8)  , *         0.465(10) ,        ,       0.075(12),  5.76(26)E+05   ,          724.9,         0.8,   0.12,       0.465,       0.010,    2.23,          0.075,          0.012,   16.14,  5.7558E+05,  2.6E+04,    4.48
 13,  29,  9p1/2,  8d3/2,        12400(200)  , *        16.946(63) ,        ,      0.0197(33),  1.509(91)E+05  ,         12447 ,        248 ,   1.99,      16.946,       0.063,    0.37,         0.0197,         0.0033,   16.68,  1.5086E+05,  9.1E+03,    6.02
 15,   1, 10p1/2,  7s1/2,         145.57(2)  , *         0.067(22) ,        ,        0.34(15),  1.49(99)E+06   ,         145.57,        0.02,   0.01,       0.067,       0.022,   33.02,           0.34,           0.15,   43.45,  1.4922E+06,  9.9E+05,   66.03
