K1  
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 25,  35, 11p3/2,  6d5/2,        4898.53(1)  ,            2.54(11) ,        ,      0.0922(72),  2.78(23)E+04   ,        4898.53,        0.01,   0.00,        2.54,        0.11,    4.16,         0.0922,         0.0072,    7.83,  2.7769E+04,  2.3E+03,    8.31
 25,  36, 11p3/2,  7d3/2,        8780.52(2)  ,           1.870(77) ,        ,     0.00869(73),  2.62(21)E+03   ,        8780.52,        0.02,   0.00,       1.870,       0.077,    4.09,        0.00869,        0.00073,    8.42,  2.6153E+03,  2.1E+02,    8.19
 25,  37, 11p3/2,  7d5/2,        8779.32(2)  ,            5.61(23) ,        ,      0.0783(61),  2.36(19)E+04   ,        8779.32,        0.02,   0.00,        5.61,        0.23,    4.07,         0.0783,         0.0061,    7.80,  2.3569E+04,  1.9E+03,    8.13
 25,  38, 11p3/2,  8d3/2,        17886.0(1)  ,            5.22(19) ,        ,     0.00800(60),  2.41(17)E+03   ,        17886.0,         0.1,   0.00,        5.22,        0.19,    3.59,        0.00800,        0.00060,    7.46,  2.4082E+03,  1.7E+02,    7.18
 25,  39, 11p3/2,  8d5/2,        17882.9(1)  ,           15.65(56) ,        ,      0.0721(50),  2.17(15)E+04   ,        17882.9,         0.1,   0.00,       15.65,        0.56,    3.56,         0.0721,         0.0050,    6.95,  2.1702E+04,  1.5E+03,    7.12
 25,  40, 11p3/2,  9d3/2,          60531(1)  ,            37.9(12) ,        ,     0.01089(70),  3.28(20)E+03   ,         60531 ,          1 ,   0.00,        37.9,         1.2,    3.05,        0.01089,        0.00070,    6.44,  3.2773E+03,  2.0E+02,    6.11
 25,  41, 11p3/2,  9d5/2,          60507(1)  ,           113.6(35) ,        ,      0.0980(58),  2.95(18)E+04   ,         60507 ,          1 ,   0.00,       113.6,         3.5,    3.04,         0.0980,         0.0058,    5.90,  2.9508E+04,  1.8E+03,    6.09
 27,   1, 12p3/2,  4s1/2,       294.3530     ,          0.0108(21) ,        ,      0.0105(40),  2.34(90)E+03   ,       294.3530,      0.0000,   0.00,      0.0108,      0.0021,   19.34,         0.0105,         0.0040,   38.34,  2.3359E+03,  9.0E+02,   38.68
 27,   2, 12p3/2,  5s1/2,       772.4236(3)  ,          0.0802(14) ,        ,      0.0317(13),  7.07(25)E+03   ,       772.4236,      0.0003,   0.00,      0.0802,      0.0014,    1.80,         0.0317,         0.0013,    4.12,  7.0652E+03,  2.5E+02,    3.59
 27,   3, 12p3/2,  6s1/2,       1533.247(1)  ,          0.2060(25) ,        ,     0.02675(86),  5.96(14)E+03   ,       1533.247,       0.001,   0.00,      0.2060,      0.0025,    1.19,        0.02675,        0.00086,    3.20,  5.9624E+03,  1.4E+02,    2.39
 27,   4, 12p3/2,  7s1/2,       2703.751(3)  ,          0.4360(47) ,        ,     0.02185(67),  4.87(11)E+03   ,       2703.751,       0.003,   0.00,      0.4360,      0.0047,    1.08,        0.02185,        0.00067,    3.05,  4.8707E+03,  1.1E+02,    2.16
 27,   5, 12p3/2,  8s1/2,       4530.138(9)  ,          0.8707(80) ,        ,     0.01853(53),  4.130(76)E+03  ,       4530.138,       0.009,   0.00,      0.8707,      0.0080,    0.92,        0.01853,        0.00053,    2.85,  4.1303E+03,  7.6E+01,    1.84
 27,   6, 12p3/2,  9s1/2,        7550.23(2)  ,           1.782(14) ,        ,     0.01676(45),  3.736(58)E+03  ,        7550.23,        0.02,   0.00,       1.782,       0.014,    0.78,        0.01676,        0.00045,    2.68,  3.7356E+03,  5.8E+01,    1.55
