  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 25,   3, 12p3/2,  7s1/2,        1632.49(1)  ,          0.3445(36) ,        ,     0.03184(74),  1.382(29)E+04  ,        1632.49,        0.01,   0.00,      0.3445,      0.0036,    1.05,        0.03184,        0.00074,    2.32,  1.3820E+04,  2.9E+02,    2.11
 25,   4, 12p3/2,  8s1/2,        2949.66(4)  ,          0.7325(70) ,        ,     0.02440(53),  1.059(20)E+04  ,        2949.66,        0.04,   0.00,      0.7325,      0.0070,    0.96,        0.02440,        0.00053,    2.17,  1.0589E+04,  2.0E+02,    1.91
 25,   5, 12p3/2,  9s1/2,         5159.9(1)  ,           1.546(12) ,        ,     0.02031(39),  8.81(14)E+03   ,         5159.9,         0.1,   0.00,       1.546,       0.012,    0.81,        0.02031,        0.00039,    1.94,  8.8143E+03,  1.4E+02,    1.62
 25,   6, 12p3/2, 10s1/2,         9304.8(4)  ,           3.599(23) ,        ,     0.01876(32),  8.14(10)E+03   ,         9304.8,         0.4,   0.00,       3.599,       0.023,    0.64,        0.01876,        0.00032,    1.69,  8.1439E+03,  1.0E+02,    1.29
 25,   7, 12p3/2, 11s1/2,          19237(2)  ,          11.226(75) ,        ,     0.02066(36),  8.97(12)E+03   ,         19237 ,          2 ,   0.01,      11.226,       0.075,    0.67,        0.02066,        0.00036,    1.72,  8.9669E+03,  1.2E+02,    1.34
 25,   8, 12p3/2, 12s1/2,         70360(20)  ,          112.13(30) ,        ,     0.04213(52),  1.828(10)E+04  ,         70359 ,         25 ,   0.04,      112.13,        0.30,    0.27,        0.04213,        0.00052,    1.23,  1.8284E+04,  1.0E+02,    0.54
 25,  28, 12p3/2,  4d3/2,        764.445(3)  ,          0.0720(12) ,        ,     0.01354(48),  5.88(20)E+03   ,        764.445,       0.003,   0.00,      0.0720,      0.0012,    1.71,        0.01354,        0.00048,    3.56,  5.8779E+03,  2.0E+02,    3.43
 25,  29, 12p3/2,  4d5/2,        764.419(3)  ,          0.2161(36) ,        ,      0.1220(38),  5.30(17)E+04   ,        764.419,       0.003,   0.00,      0.2161,      0.0036,    1.65,         0.1220,         0.0038,    3.08,  5.2968E+04,  1.7E+03,    3.30
 25,  30, 12p3/2,  5d3/2,        1484.45(1)  ,          0.2032(31) ,        ,     0.01473(48),  6.39(20)E+03   ,        1484.45,        0.01,   0.00,      0.2032,      0.0031,    1.55,        0.01473,        0.00048,    3.24,  6.3924E+03,  2.0E+02,    3.09
 25,  31, 12p3/2,  5d5/2,        1485.10(1)  ,          0.6104(90) ,        ,      0.1328(37),  5.76(17)E+04   ,        1485.10,        0.01,   0.00,      0.6104,      0.0090,    1.48,         0.1328,         0.0037,    2.77,  5.7620E+04,  1.7E+03,    2.96
 25,  32, 12p3/2,  6d3/2,        2666.73(4)  ,          0.4474(63) ,        ,     0.01232(37),  5.35(15)E+03   ,        2666.73,        0.04,   0.00,      0.4474,      0.0063,    1.40,        0.01232,        0.00037,    2.99,  5.3455E+03,  1.5E+02,    2.81
 25,  33, 12p3/2,  6d5/2,        2668.34(4)  ,           1.344(18) ,        ,      0.1110(29),  4.82(13)E+04   ,        2668.34,        0.04,   0.00,       1.344,       0.018,    1.34,         0.1110,         0.0029,    2.61,  4.8160E+04,  1.3E+03,    2.68
 25,  34, 12p3/2,  7d3/2,         4636.2(1)  ,           0.928(12) ,        ,     0.01008(29),  4.37(12)E+03   ,         4636.2,         0.1,   0.00,       0.928,       0.012,    1.32,        0.01008,        0.00029,    2.84,  4.3743E+03,  1.2E+02,    2.64
 25,  35, 12p3/2,  7d5/2,         4639.5(1)  ,           2.787(35) ,        ,      0.0908(23),  3.940(99)E+04  ,         4639.5,         0.1,   0.00,       2.787,       0.035,    1.26,         0.0908,         0.0023,    2.53,  3.9395E+04,  9.9E+02,    2.51
 25,  36, 12p3/2,  8d3/2,         8226.4(3)  ,           2.016(25) ,        ,     0.00852(23),  3.698(93)E+03  ,         8226.4,         0.3,   0.00,       2.016,       0.025,    1.25,        0.00852,        0.00023,    2.73,  3.6981E+03,  9.3E+01,    2.51
 25,  37, 12p3/2,  8d5/2,         8233.3(3)  ,           6.057(72) ,        ,      0.0767(19),  3.330(80)E+04  ,         8233.3,         0.3,   0.00,       6.057,       0.072,    1.20,         0.0767,         0.0019,    2.47,  3.3296E+04,  8.0E+02,    2.39
 25,  38, 12p3/2,  9d3/2,          16255(1)  ,           5.327(60) ,        ,     0.00771(19),  3.346(76)E+03  ,         16255 ,          1 ,   0.01,       5.327,       0.060,    1.13,        0.00771,        0.00019,    2.51,  3.3461E+03,  7.6E+01,    2.26
 25,  39, 12p3/2,  9d5/2,          16274(1)  ,           16.01(17) ,        ,      0.0694(16),  3.012(65)E+04  ,         16274 ,          1 ,   0.01,       16.01,        0.17,    1.08,         0.0694,         0.0016,    2.29,  3.0124E+04,  6.5E+02,    2.15
 25,  40, 12p3/2, 10d3/2,         47750(10)  ,           28.33(38) ,        ,     0.00860(25),  3.734(99)E+03  ,         47749 ,         11 ,   0.02,       28.33,        0.38,    1.33,        0.00860,        0.00025,    2.86,  3.7343E+03,  9.9E+01,    2.65
 25,  41, 12p3/2, 10d5/2,         47860(10)  ,            85.3(11) ,        ,      0.0774(20),  3.359(84)E+04  ,         47862 ,         11 ,   0.02,        85.3,         1.1,    1.25,         0.0774,         0.0020,    2.56,  3.3595E+04,  8.4E+02,    2.51
 27,   1, 13p3/2,  5s1/2,       306.1134(5)  ,          0.0269(27) ,        ,      0.0395(76),  1.28(26)E+04   ,       306.1134,      0.0005,   0.00,      0.0269,      0.0027,   10.01,         0.0395,         0.0076,   19.25,  1.2757E+04,  2.6E+03,   20.02
 27,   2, 13p3/2,  6s1/2,        797.759(3)  ,          0.1163(18) ,        ,      0.0417(13),  1.349(42)E+04  ,        797.759,       0.003,   0.00,      0.1163,      0.0018,    1.56,         0.0417,         0.0013,    3.20,  1.3494E+04,  4.2E+02,    3.11
 27,   3, 13p3/2,  7s1/2,        1573.27(1)  ,          0.2708(32) ,        ,     0.02950(75),  9.54(22)E+03   ,        1573.27,        0.01,   0.00,      0.2708,      0.0032,    1.17,        0.02950,        0.00075,    2.54,  9.5364E+03,  2.2E+02,    2.33
 27,   4, 13p3/2,  8s1/2,        2761.81(4)  ,          0.5443(59) ,        ,     0.02204(53),  7.12(15)E+03   ,        2761.81,        0.04,   0.00,      0.5443,      0.0059,    1.09,        0.02204,        0.00053,    2.42,  7.1233E+03,  1.5E+02,    2.17
 27,   5, 13p3/2,  9s1/2,         4611.3(1)  ,           1.050(10) ,        ,     0.01763(39),  5.70(11)E+03   ,         4611.3,         0.1,   0.00,       1.050,       0.010,    0.97,        0.01763,        0.00039,    2.23,  5.7004E+03,  1.1E+02,    1.94
 27,   6, 13p3/2, 10s1/2,         7661.1(3)  ,           2.090(17) ,        ,     0.01522(30),  4.921(81)E+03  ,         7661.1,         0.3,   0.00,       2.090,       0.017,    0.82,        0.01522,        0.00030,    1.99,  4.9208E+03,  8.1E+01,    1.65
